case,mean,std,ii,p_i,n_valid,n_runs,min,max,regime,complexity,colour
Value at Risk at 95%,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c
Value at Risk at 99%,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c
Partial liquidation amount,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Constant product formula,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c
Simple Staking APY,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
LP share percentage,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c
Long position unrealized PnL,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Short position unrealized PnL,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Funding rate cost,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Validator commission adjusted,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c
Protocol reserve accumulation,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c
Leveraged position notional,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Cross-margin available balance,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Realized PnL for long,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
LP fee earnings,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Multi-day Value at Risk,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c
ES scaling for multi-day,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c
Annualised Portfolio tracking error,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,3,#2ca02c
Incremental VaR,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Reserve ratio,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Impermanent loss breakeven fee rate,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,5,#2ca02c
Constant Product Price Impact,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Effective Leverage,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Borrowing Interest,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,4,#2ca02c
Portfolio Sharpe Ratio,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,4,#2ca02c
APY calculation,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
AMM output amount,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Information ratio,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,4,#2ca02c
Utilization rate of DeFi,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Borrow APY from utilization,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Supply APY from borrow,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Health factor,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c
Impermanent loss percentage,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,4,#2ca02c
Funding rate cost (extended),1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Staking reward for fixed lock-up,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Expected Shortfall at 95%,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,6,#2ca02c
Expected Shortfall at 99%,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,6,#2ca02c
Portfolio VaR for two correlated,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,4,#2ca02c
Position margin ratio,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Concentrated liquidity position width (v2),1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Multi-Collateral LTV,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Correlated Portfolio VaR,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,4,#2ca02c
Impermanent loss in constant product,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,4,#2ca02c
Constant product formula (multivariate),1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Convexity Adjustment,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c
Forward price for derivative,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c
Put-call parity,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c
Simple options moneyness,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,5,#2ca02c
Uniswap V3 virtual,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c
Gamma of option,0.9966,0.0,0.0,1.0,1,1,0.9966,0.9966,A-Symbolic,5,#2ca02c
Vega of option,0.5695,0.0,0.0,0.0,1,1,0.5695,0.5695,B-Approx,5,#ff7f0e
Compounding Staking Returns,-0.2206,0.0,0.0,0.0,1,1,-0.2206,-0.2206,C-Collapse,5,#d62728
Price slippage percentage,-2.7838,0.0,0.0,0.0,1,1,-2.7838,-2.7838,C-Collapse,2,#d62728
Call option intrinsic,-3.5798,0.0,0.0,0.0,1,1,-3.5798,-3.5798,C-Collapse,5,#d62728
Slashing penalty,-4.7088,0.0,0.0,0.0,1,1,-4.7088,-4.7088,C-Collapse,1,#d62728
Spot price from AMM,-519.569,0.0,0.0,0.0,1,1,-519.569,-519.569,C-Collapse,2,#d62728
