case,mean,std,ii,p_i,n_valid,n_runs,min,max,regime,complexity,colour,extrapolation_r2,success,failure,eval_mode
Value at Risk at 95%,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c,,,,
Value at Risk at 99%,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c,,,,
Partial liquidation amount,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Constant product formula,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c,,,,
Simple Staking APY,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Spot price from AMM,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Long position unrealized PnL,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Short position unrealized PnL,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Funding rate cost,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Protocol reserve accumulation,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c,,,,
Leveraged position notional,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Cross-margin available balance,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Realized PnL for long,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
LP fee earnings,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Multi-day Value at Risk,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c,,,,
ES scaling for multi-day,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c,,,,
Annualised Portfolio tracking error,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,3,#2ca02c,,,,
Incremental VaR,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Reserve ratio,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Impermanent loss breakeven fee rate,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,5,#2ca02c,,,,
Constant Product Price Impact,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Borrowing Interest,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,4,#2ca02c,,,,
Compounding Staking Returns,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,5,#2ca02c,,,,
Portfolio Sharpe Ratio,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,4,#2ca02c,,,,
APY calculation,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
AMM output amount,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Information ratio,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,4,#2ca02c,,,,
Borrow APY from utilization,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Supply APY from borrow,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Health factor,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c,,,,
Funding rate cost (extended),1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Staking reward for fixed lock-up,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Expected Shortfall at 95%,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,6,#2ca02c,,,,
Expected Shortfall at 99%,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,6,#2ca02c,,,,
Portfolio VaR for two correlated,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,4,#2ca02c,,,,
Position margin ratio,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Concentrated liquidity position width (v2),1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Multi-Collateral LTV,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Correlated Portfolio VaR,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,4,#2ca02c,,,,
Constant product formula (multivariate),1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Forward price for derivative,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,2,#2ca02c,,,,
Put-call parity,1.0,0.0,0.0,1.0,1,1,1.0,1.0,A-Symbolic,1,#2ca02c,,,,
Convexity Adjustment,0.9998,0.0,0.0,1.0,1,1,0.9998,0.9998,A-Symbolic,1,#2ca02c,,,,
Spot price from AMM reserve,0.981,0.0,0.0,1.0,1,1,0.981,0.981,B-Approx,2,#ff7f0e,,,,
Gamma of option,0.9221,0.0,0.0,1.0,1,1,0.9221,0.9221,B-Approx,5,#ff7f0e,,,,
Effective Leverage,0.8189,0.0,0.0,0.0,1,1,0.8189,0.8189,B-Approx,2,#ff7f0e,,,,
Component ES,-0.2749,0.0,0.0,0.0,1,1,-0.2749,-0.2749,C-Collapse,1,#d62728,,,,
Black-Scholes Put Price,-1.3606,0.0,0.0,0.0,1,1,-1.3606,-1.3606,C-Collapse,5,#d62728,,,,
LP share percentage,-1.8739,0.0,0.0,0.0,1,1,-1.8739,-1.8739,C-Collapse,1,#d62728,,,,
Price slippage percentage,-2.7838,0.0,0.0,0.0,1,1,-2.7838,-2.7838,C-Collapse,2,#d62728,,,,
Call option intrinsic,-3.5798,0.0,0.0,0.0,1,1,-3.5798,-3.5798,C-Collapse,5,#d62728,,,,
Concentrated liquidity position width,-15.1289,0.0,0.0,0.0,1,1,-15.1289,-15.1289,C-Collapse,2,#d62728,,,,
