experiment,seed,n_cases,mean_r2
exp1,42,74,-1.609402921715166
exp1,99,0,
exp1,123,0,
exp1,777,0,
exp1,2024,0,
exp1,ALL (5 target seeds),74,-1.609402921715166
exp1_pca,42,74,0.3694411053031833
exp1_pca,99,0,
exp1_pca,123,0,
exp1_pca,777,0,
exp1_pca,2024,0,
exp1_pca,ALL (5 target seeds),74,0.3694411053031833
15,42,74,0.38135380611100933
15,99,74,0.39278179367491706
15,123,74,-0.44127935663723483
15,777,74,-2.263421005881538
15,2024,74,0.4403373998406437
15,ALL (5 target seeds),370,-0.29804547257844055
15_pca,42,74,0.41253137882515006
15_pca,99,74,-45.07551089664256
15_pca,123,74,0.40645288154116593
15_pca,777,74,0.3950487538488652
15_pca,2024,74,-6.321651251495093
15_pca,ALL (5 target seeds),370,-10.036625826784494
